Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 76.96      1.00     1.00    50000     0.02     0.02  compute_forces(System const&, double, double, double, std::vector<double, std::allocator<double> >&, std::vector<double, std::allocator<double> >&)
  6.16      1.08     0.08    50000     0.00     0.00  move(System&, double)
  5.39      1.15     0.07 227200256     0.00     0.00  std::vector<double, std::allocator<double> >::operator[](unsigned long) const
  3.46      1.20     0.05 64031409     0.00     0.00  std::vector<double, std::allocator<double> >::operator[](unsigned long)
  3.08      1.24     0.04    50000     0.00     0.00  update_velocities(System&, std::vector<double, std::allocator<double> > const&, std::vector<double, std::allocator<double> > const&, double)
  2.31      1.27     0.03    50001     0.00     0.00  current_temp(System const&, double)
  1.54      1.29     0.02    50001     0.00     0.00  scale_velocities(System&, double, double)
  0.77      1.30     0.01   100009     0.00     0.00  __gnu_cxx::__enable_if<std::__is_scalar<double>::__value, double*>::__type std::__fill_n_a<double*, unsigned long, double>(double*, unsigned long, double const&)
  0.38      1.30     0.01       10     0.50     0.50  std::vector<double, std::allocator<double> >::~vector()
  0.00      1.30     0.00   300042     0.00     0.00  std::vector<double, std::allocator<double> >::size() const
  0.00      1.30     0.00   300000     0.00     0.00  __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >::__normal_iterator(double* const&)
  0.00      1.30     0.00   200000     0.00     0.00  __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >::__normal_iterator(double const* const&)
  0.00      1.30     0.00   200000     0.00     0.00  __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >::base() const
  0.00      1.30     0.00   200000     0.00     0.00  std::vector<double, std::allocator<double> >::capacity() const
  0.00      1.30     0.00   200000     0.00     0.00  __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > > std::__miter_base<__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > > >(__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >)
  0.00      1.30     0.00   200000     0.00     0.00  double const* std::__niter_base<double const*, std::vector<double, std::allocator<double> > >(__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >)
  0.00      1.30     0.00   100031     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_get_Tp_allocator()
  0.00      1.30     0.00   100027     0.00     0.00  double* std::__niter_base<double*>(double*)
  0.00      1.30     0.00   100009     0.00     0.00  double* std::fill_n<double*, unsigned long, double>(double*, unsigned long, double const&)
  0.00      1.30     0.00   100000     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<double>, double>::_S_propagate_on_copy_assign()
  0.00      1.30     0.00   100000     0.00     0.00  __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >::base() const
  0.00      1.30     0.00   100000     0.00     0.00  std::vector<double, std::allocator<double> >::end() const
  0.00      1.30     0.00   100000     0.00     0.00  std::vector<double, std::allocator<double> >::begin() const
  0.00      1.30     0.00   100000     0.00     0.00  double* std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<double>(double const*, double const*, double*)
  0.00      1.30     0.00   100000     0.00     0.00  void std::_Destroy_aux<true>::__destroy<__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > > >(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >)
  0.00      1.30     0.00   100000     0.00     0.00  std::vector<double, std::allocator<double> >::_M_fill_assign(unsigned long, double const&)
  0.00      1.30     0.00   100000     0.00     0.00  std::vector<double, std::allocator<double> >::_M_erase_at_end(double*)
