Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 51.95      9.07     9.07 812800000     0.00     0.00  min_image_distance(System const&, int, int, double&, double&)
 24.87     13.41     4.34 3289600512     0.00     0.00  std::vector<double, std::allocator<double> >::operator[](unsigned long) const
 16.96     16.37     2.96    50000     0.06     0.33  compute_forces(System const&, double, double, double, std::vector<double, std::allocator<double> >&, std::vector<double, std::allocator<double> >&)
  2.98     16.89     0.52      256     2.03     2.03  double std::normal_distribution<double>::operator()<std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul> >(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&)
  1.17     17.10     0.21        6    34.18    34.18  double* std::__copy_move<true, true, std::random_access_iterator_tag>::__copy_m<double>(double const*, double const*, double*)
  0.72     17.22     0.13 140922920     0.00     0.00  std::vector<double, std::allocator<double> >::operator[](unsigned long)
  0.46     17.30     0.08   200007     0.00     0.00  __gnu_cxx::__enable_if<std::__is_scalar<double>::__value, double*>::__type std::__fill_n_a<double*, unsigned long, double>(double*, unsigned long, double const&)
  0.40     17.37     0.07    50000     0.00     0.00  update_velocities(System&, std::vector<double, std::allocator<double> > const&, std::vector<double, std::allocator<double> > const&, double)
  0.29     17.42     0.05    50000     0.00     0.00  move(System&, double)
  0.11     17.44     0.02    50001     0.00     0.00  current_temp(System const&, double)
  0.06     17.45     0.01    59906     0.00     0.00  calc_force(double, double, double)
  0.06     17.46     0.01    50001     0.00     0.00  scale_velocities(System&, double, double)
  0.03     17.47     0.01   100008     0.00     0.00  std::vector<double, std::allocator<double> >::~vector()
  0.00     17.47     0.00   300042     0.00     0.00  std::vector<double, std::allocator<double> >::size() const
  0.00     17.47     0.00   300027     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_get_Tp_allocator()
  0.00     17.47     0.00   300000     0.00     0.00  __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >::__normal_iterator(double* const&)
  0.00     17.47     0.00   200025     0.00     0.00  double* std::__niter_base<double*>(double*)
  0.00     17.47     0.00   200009     0.00     0.00  __gnu_cxx::new_allocator<double>::~new_allocator()
  0.00     17.47     0.00   200009     0.00     0.00  std::allocator<double>::~allocator()
  0.00     17.47     0.00   200007     0.00     0.00  double* std::fill_n<double*, unsigned long, double>(double*, unsigned long, double const&)
  0.00     17.47     0.00   200000     0.00     0.00  __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >::__normal_iterator(double const* const&)
