Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00     19.77     0.00   200009     0.00     0.00  __gnu_cxx::new_allocator<double>::~new_allocator()
  0.00     19.77     0.00   200009     0.00     0.00  std::allocator<double>::~allocator()
  0.00     19.77     0.00   200007     0.00     0.00  double* std::fill_n<double*, unsigned long, double>(double*, unsigned long, double const&)
  0.00     19.77     0.00   200000     0.00     0.00  __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >::__normal_iterator(double const* const&)
  0.00     19.77     0.00   200000     0.00     0.00  __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >::base() const
  0.00     19.77     0.00   200000     0.00     0.00  std::vector<double, std::allocator<double> >::capacity() const
  0.00     19.77     0.00   200000     0.00     0.00  __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > > std::__miter_base<__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > > >(__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >)
  0.00     19.77     0.00   200000     0.00     0.00  double const* std::__niter_base<double const*, std::vector<double, std::allocator<double> > >(__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >)
  0.00     19.77     0.00   100031     0.00     0.00  __gnu_cxx::new_allocator<double>::max_size() const
  0.00     19.77     0.00   100014     0.00     0.00  void std::_Destroy_aux<true>::__destroy<double*>(double*, double*)
  0.00     19.77     0.00   100014     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_deallocate(double*, unsigned long)
  0.00     19.77     0.00   100014     0.00     0.00  void std::_Destroy<double*>(double*, double*)
  0.00     19.77     0.00   100014     0.00     0.00  void std::_Destroy<double*, double>(double*, double*, std::allocator<double>&)
  0.00     19.77     0.00   100008     0.00     0.00  __gnu_cxx::new_allocator<double>::new_allocator()
  0.00     19.77     0.00   100008     0.00     0.00  std::allocator<double>::allocator()
  0.00     19.77     0.00   100008     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_Vector_impl::~_Vector_impl()
  0.00     19.77     0.00   100008     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::~_Vector_base()
